Владелец	Дата рождения владельца	Госномер	VIN	Марка	Модель	Год выпуска	Цвет
Отчётова Юлия Дмитриевна	09.04.1981	А000ХМ000	TSTWAWZ8WCL3XPNZ6	Kia	Rio	2008	чёрный
Выборкин Глеб Алексеевич	26.11.1954	В000ВХ000	TSTG0UE69764GX1B2	ГАЗ	Газель	2018	белый
Выгрузкина Ольга Егоровна	01.03.1985	О000МА000	TSTE0GC6RPKSL0DRR	Hyundai	Solaris	2014	белый
Полев Егор Романович	28.11.1970	В000ЕХ000	TSTRCMPDCHC38GS5S	Лада	Веста	2015	красный
Архивова Ксения Сергеевна	31.05.1959	А000ЕВ000	TSTJBYNF602JMR0K2	ГАЗ	Газель	2010	белый
Тестова Софья Олеговна	21.01.1953	Е000ЕЕ000	TST4YU1NB2B90W6MJ	Kia	Rio	2023	чёрный
Тестов Глеб Романович	29.10.1959	Е000СМ000	TSTH8XZS396FJN6PU	УАЗ	Патриот	2018	серый
Условнова Татьяна Петровна	04.11.2000	В000ОТ000	TST2WJF89TJWPU3E4	Skoda	Octavia	2011	серебристый
Эталонова Наталья Романовна	20.03.1994	Е000КХ000	TST6WGG3F952MP7JT	УАЗ	Патриот	2024	красный
Пробникова Татьяна Олеговна	14.09.1987	Р000СН000	TSTCBKRBZMPG9STYB	Toyota	Corolla	2013	серый
Реестров Алексей Михайлович	26.12.1985	Р000ВР000	TSTFZ00YACXP0S9PE	Лада	Веста	2014	белый
Черновиков Тимур Егорович	06.01.1962	О000ХХ000	TSTNUY9L9AM2ZLWRJ	Kia	Rio	2023	серый
Эталонова Ольга Петровна	24.02.1984	Т000НХ000	TSTFMMMMTFP508XYG	Лада	Веста	2024	синий
Выборкин Андрей Иванович	03.10.1966	У000ХН000	TSTE5NL9Y1MMGPXCH	Лада	Нива	2016	белый
Тестов Дмитрий Николаевич	06.02.1973	К000ТУ000	TSTXL6L91E41PRYEA	ГАЗ	Газель	2017	серебристый
Реестров Павел Михайлович	15.09.1995	Т000УА000	TST80RNM00YXEF61B	Hyundai	Solaris	2019	синий
Архивов Иван Романович	19.07.1999	Р000ХН000	TSTTRD8UPH8HY2HFD	Лада	Веста	2022	серый
Тестова Дарья Андреевна	26.11.2002	С000ХО000	TST2LUT4CM2ZXWBN1	Skoda	Octavia	2022	красный
Пробникова Полина Сергеевна	25.05.1952	У000УК000	TSTZBSJBTCUKTNWUE	УАЗ	Патриот	2012	чёрный
Тестов Иван Дмитриевич	22.06.1997	Р000ОВ000	TSTDASSENY6BKNDHT	УАЗ	Патриот	2016	синий
